number,opened_at,priority,state,assignment_group,assignee,cmdb_ci_class,short_description,ttc_hours,closed_at,sla_breach
INC102418,2025-10-11,1 - Critical,New,IT Support,user228,cmdb_ci_app,Application error 500,8.992085261165977,2025-10-11 08:59:31.506940197,0
INC102419,2025-01-26,3 - Moderate,Resolved,HR Tech,user232,cmdb_ci_server,Password reset requested,13.81775110160851,2025-01-26 13:49:03.903965790,0
INC102420,2025-03-07,3 - Moderate,New,HR Tech,user400,cmdb_ci_server,User cannot access ServiceNow,5.659189152778555,,0
INC102421,2025-09-05,4 - Low,In Progress,IT Support,user395,cmdb_ci_db_instance,VPN unstable,8.486286525859846,2025-09-05 08:29:10.631493095,0
INC102422,2025-09-11,2 - High,New,Network,user571,cmdb_ci_app,Laptop will not boot,12.467827205755038,2025-09-11 12:28:04.177940718,1
INC102423,2025-02-13,1 - Critical,Closed,App Dev,user087,cmdb_ci_server,Network latency issues,5.529903887261021,2025-02-13 05:31:47.653994139,0
INC102424,2025-04-07,1 - Critical,Resolved,Security,user419,cmdb_ci_network,Email down,14.401957923837122,2025-04-07 14:24:07.048525813,1
INC102425,2025-02-11,4 - Low,Resolved,HR Tech,user060,cmdb_ci_server,VPN unstable,10.88301303612626,,0
INC102426,2025-08-15,4 - Low,Closed,App Dev,user507,cmdb_ci_db_instance,Network latency issues,12.946981998568676,2025-08-15 12:56:49.135194847,0
INC102427,2025-09-19,4 - Low,Resolved,Network,user167,cmdb_ci_db_instance,Password reset requested,1.4481646349995931,2025-09-19 01:26:53.392685998,0
INC102428,2025-06-16,3 - Moderate,In Progress,Security,user491,cmdb_ci_app,Slow database performance,6.0358966569780135,2025-06-16 06:02:09.227965120,0
INC102429,2025-10-06,3 - Moderate,Resolved,HR Tech,user132,cmdb_ci_db_instance,Email down,4.58068868679928,2025-10-06 04:34:50.479272477,0
INC102430,2025-03-30,2 - High,Canceled,HR Tech,user176,cmdb_ci_server,VPN unstable,1.1325854245111704,2025-03-30 01:07:57.307528240,0
INC102431,2025-06-27,4 - Low,In Progress,Network,user455,cmdb_ci_server,VPN unstable,13.599878510155191,2025-06-27 13:35:59.562636558,0
INC102432,2025-07-16,4 - Low,Resolved,Network,user560,cmdb_ci_server,Network latency issues,2.0109342418350398,2025-07-16 02:00:39.363270606,0
INC102433,2025-09-24,3 - Moderate,Resolved,HR Tech,user338,cmdb_ci_network,User cannot access ServiceNow,17.691967970073975,2025-09-24 17:41:31.084692266,0
INC102434,2025-09-25,3 - Moderate,In Progress,HR Tech,user501,cmdb_ci_network,VPN unstable,7.2154326480426,2025-09-25 07:12:55.557532953,0
INC102435,2025-03-15,3 - Moderate,Closed,App Dev,user062,cmdb_ci_db_instance,User cannot access ServiceNow,10.206183830185475,2025-03-15 10:12:22.261788667,0
INC102436,2025-01-08,1 - Critical,In Progress,Network,user127,cmdb_ci_app,Application error 500,4.685842527768021,2025-01-08 04:41:09.033099964,0
INC102437,2025-10-24,4 - Low,New,Network,user023,cmdb_ci_server,Slow database performance,14.335676130035932,2025-10-24 14:20:08.434068129,0
INC102438,2025-06-13,3 - Moderate,Closed,App Dev,user188,cmdb_ci_db_instance,User cannot access ServiceNow,7.03029456791438,2025-06-13 07:01:49.060444491,0
INC102439,2025-03-26,3 - Moderate,Resolved,Network,user105,cmdb_ci_server,VPN unstable,10.591460521478153,2025-03-26 10:35:29.257877321,0
INC102440,2025-03-13,3 - Moderate,In Progress,IT Support,user298,cmdb_ci_network,VPN unstable,15.34120484078817,2025-03-13 15:20:28.337426837,0
INC102441,2025-02-24,3 - Moderate,In Progress,Security,user166,cmdb_ci_network,User cannot access ServiceNow,11.552582905030354,2025-02-24 11:33:09.298458109,0
INC102442,2025-02-16,2 - High,Closed,IT Support,user058,cmdb_ci_db_instance,VPN unstable,5.562623213423843,2025-02-16 05:33:45.443568325,0
INC102443,2025-08-26,4 - Low,In Progress,Network,user447,cmdb_ci_network,Laptop will not boot,7.057513169522276,2025-08-26 07:03:27.047410280,0
INC102444,2025-04-14,4 - Low,Resolved,App Dev,user443,cmdb_ci_app,Slow database performance,13.2243647384949,2025-04-14 13:13:27.713058581,0
INC102445,2025-07-29,3 - Moderate,In Progress,HR Tech,user511,cmdb_ci_db_instance,VPN unstable,6.129149421507016,2025-07-29 06:07:44.937917425,0
INC102446,2025-02-11,3 - Moderate,Canceled,Network,user533,cmdb_ci_app,Email down,7.518300673907015,2025-02-11 07:31:05.882426065,0
INC102447,2025-09-25,3 - Moderate,Resolved,HR Tech,user562,cmdb_ci_network,Laptop will not boot,9.247825045909629,2025-09-25 09:14:52.170165274,0
INC102448,2025-09-20,3 - Moderate,Resolved,Security,user337,cmdb_ci_network,User cannot access ServiceNow,4.687519631540829,2025-09-20 04:41:15.070673546,0
INC102449,2025-09-16,4 - Low,Resolved,IT Support,user269,cmdb_ci_app,Network latency issues,6.963221402038087,2025-09-16 06:57:47.597047337,0
INC102450,2025-10-10,2 - High,Closed,Security,user056,cmdb_ci_db_instance,Application error 500,8.50291077568813,2025-10-10 08:30:10.478792477,0
INC102451,2025-04-24,2 - High,Closed,HR Tech,user220,cmdb_ci_network,Application error 500,8.3960089056127,2025-04-24 08:23:45.632060205,0
INC102452,2025-02-09,4 - Low,Closed,Security,user017,cmdb_ci_app,VPN unstable,8.193203313458774,2025-02-09 08:11:35.531928451,0
INC102453,2025-08-08,2 - High,Closed,HR Tech,user309,cmdb_ci_db_instance,Slow database performance,5.6959051810921,2025-08-08 05:41:45.258651931,0
INC102454,2025-05-09,3 - Moderate,In Progress,IT Support,user088,cmdb_ci_server,Slow database performance,8.779188515191727,2025-05-09 08:46:45.078654690,0
INC102455,2025-01-08,2 - High,In Progress,HR Tech,user482,cmdb_ci_app,Password reset requested,17.037170071221965,2025-01-08 17:02:13.812256399,1
INC102456,2025-04-11,4 - Low,Closed,IT Support,user037,cmdb_ci_network,Password reset requested,7.04121938697694,2025-04-11 07:02:28.389793116,0
INC102457,2025-06-25,4 - Low,Resolved,Network,user113,cmdb_ci_server,User cannot access ServiceNow,8.701112680806373,2025-06-25 08:42:04.005650902,0
INC102458,2025-04-17,4 - Low,Closed,HR Tech,user198,cmdb_ci_server,User cannot access ServiceNow,6.952210305969473,2025-04-17 06:57:07.957101490,0
INC102459,2025-04-11,4 - Low,In Progress,Security,user184,cmdb_ci_app,Email down,16.47581674974436,2025-04-11 16:28:32.940299079,0
INC102460,2025-09-17,2 - High,Resolved,App Dev,user407,cmdb_ci_network,Email down,6.144897899345214,2025-09-17 06:08:41.632437642,0
INC102461,2025-09-03,3 - Moderate,Resolved,Security,user416,cmdb_ci_db_instance,Laptop will not boot,3.685739463935692,,0
INC102462,2025-10-02,3 - Moderate,Closed,App Dev,user114,cmdb_ci_db_instance,Slow database performance,11.828866415256936,2025-10-02 11:49:43.919094924,0
INC102463,2025-02-01,4 - Low,New,Security,user343,cmdb_ci_network,Email down,5.922341464802516,2025-02-01 05:55:20.429273289,0
INC102464,2025-05-17,2 - High,Closed,HR Tech,user383,cmdb_ci_db_instance,Password reset requested,11.396996361913178,2025-05-17 11:23:49.186902887,0
INC102465,2025-01-12,4 - Low,In Progress,Network,user506,cmdb_ci_network,Slow database performance,5.226027188820043,2025-01-12 05:13:33.697879752,0
INC102466,2025-01-16,2 - High,Resolved,HR Tech,user084,cmdb_ci_db_instance,User cannot access ServiceNow,3.032933109655064,2025-01-16 03:01:58.559194758,0
INC102467,2025-05-09,4 - Low,Resolved,IT Support,user491,cmdb_ci_server,User cannot access ServiceNow,7.207480559566997,2025-05-09 07:12:26.930014441,0
INC102468,2025-03-04,3 - Moderate,In Progress,Network,user551,cmdb_ci_db_instance,Password reset requested,2.2097566025967117,2025-03-04 02:12:35.123769348,0
INC102469,2025-04-19,3 - Moderate,Resolved,HR Tech,user250,cmdb_ci_app,VPN unstable,9.10958410218327,2025-04-19 09:06:34.502767859,0
INC102470,2025-01-21,3 - Moderate,Closed,Network,user418,cmdb_ci_network,User cannot access ServiceNow,12.817849198299916,,0
INC102471,2025-06-07,2 - High,In Progress,IT Support,user337,cmdb_ci_server,Network latency issues,23.059500578505563,2025-06-07 23:03:34.202082620,1
INC102472,2025-09-26,3 - Moderate,Resolved,App Dev,user463,cmdb_ci_network,Laptop will not boot,5.0572883804828175,2025-09-26 05:03:26.238169738,0
INC102473,2025-06-11,3 - Moderate,In Progress,Network,user597,cmdb_ci_db_instance,Network latency issues,4.1881975590266265,2025-06-11 04:11:17.511212495,0
INC102474,2025-09-17,3 - Moderate,Closed,Network,user122,cmdb_ci_server,Network latency issues,12.618908862581195,2025-09-17 12:37:08.071905292,0
INC102475,2025-04-12,3 - Moderate,In Progress,IT Support,user257,cmdb_ci_app,VPN unstable,12.044750761875848,2025-04-12 12:02:41.102742753,0
INC102476,2025-08-11,3 - Moderate,In Progress,HR Tech,user365,cmdb_ci_network,Email down,12.558599166985768,2025-08-11 12:33:30.957001148,0
INC102477,2025-02-28,3 - Moderate,Closed,App Dev,user166,cmdb_ci_app,Password reset requested,23.28208506010041,,0
INC102478,2025-09-04,4 - Low,On Hold,Network,user042,cmdb_ci_db_instance,Slow database performance,7.5289762035063,2025-09-04 07:31:44.314332622,0
INC102479,2025-05-08,4 - Low,In Progress,Network,user569,cmdb_ci_app,Slow database performance,26.27147357948595,2025-05-09 02:16:17.304886149,1
INC102480,2025-10-10,1 - Critical,Canceled,Network,user236,cmdb_ci_server,Email down,5.774318465544972,2025-10-10 05:46:27.546475961,0
INC102481,2025-01-25,4 - Low,Resolved,Network,user520,cmdb_ci_app,Laptop will not boot,4.467723140040473,2025-01-25 04:28:03.803304145,0
INC102482,2025-05-11,4 - Low,Resolved,IT Support,user215,cmdb_ci_db_instance,Password reset requested,4.147616697390139,2025-05-11 04:08:51.420110604,0
INC102483,2025-07-15,4 - Low,Resolved,Network,user059,cmdb_ci_server,Network latency issues,3.9446545459805753,2025-07-15 03:56:40.756365530,0
INC102484,2025-10-08,4 - Low,Closed,App Dev,user395,cmdb_ci_db_instance,Email down,23.985176210188136,,0
INC102485,2025-06-03,3 - Moderate,In Progress,IT Support,user343,cmdb_ci_network,Network latency issues,15.924819129296065,2025-06-03 15:55:29.348865465,0
INC102486,2025-05-13,2 - High,New,Network,user244,cmdb_ci_server,Slow database performance,22.644732332976133,2025-05-13 22:38:41.036398714,1
INC102487,2025-08-15,3 - Moderate,In Progress,App Dev,user548,cmdb_ci_db_instance,VPN unstable,1.3669489064234004,2025-08-15 01:22:01.016063124,0
INC102488,2025-07-08,3 - Moderate,Resolved,Security,user284,cmdb_ci_app,Laptop will not boot,2.5603998723776784,2025-07-08 02:33:37.439540559,0
INC102489,2025-09-22,2 - High,In Progress,Security,user081,cmdb_ci_app,User cannot access ServiceNow,5.941554344371401,,0
INC102490,2025-05-14,2 - High,Resolved,App Dev,user584,cmdb_ci_db_instance,Password reset requested,5.280618298435935,2025-05-14 05:16:50.225874369,0
INC102491,2025-07-30,3 - Moderate,New,Network,user513,cmdb_ci_network,Email down,8.730471022917714,2025-07-30 08:43:49.695682503,0
INC102492,2025-03-01,3 - Moderate,Closed,Network,user349,cmdb_ci_db_instance,VPN unstable,7.66122319058739,2025-03-01 07:39:40.403486114,0
INC102493,2025-08-01,2 - High,Resolved,IT Support,user436,cmdb_ci_db_instance,Application error 500,3.2488533912015702,2025-08-01 03:14:55.872208325,0
INC102494,2025-08-04,3 - Moderate,In Progress,Network,user269,cmdb_ci_db_instance,Password reset requested,4.849306914939133,2025-08-04 04:50:57.504893780,0
INC102495,2025-08-14,4 - Low,In Progress,IT Support,user279,cmdb_ci_db_instance,Slow database performance,6.1961296412935,,0
INC102496,2025-05-11,2 - High,Closed,Network,user290,cmdb_ci_network,Slow database performance,2.83819972376886,,0
INC102497,2025-03-17,4 - Low,Closed,HR Tech,user593,cmdb_ci_app,Application error 500,6.799950196075848,2025-03-17 06:47:59.820705873,0
INC102498,2025-10-13,3 - Moderate,Closed,HR Tech,user471,cmdb_ci_db_instance,Password reset requested,3.003555703146312,2025-10-13 03:00:12.800531326,0
INC102499,2025-10-04,2 - High,In Progress,App Dev,user439,cmdb_ci_network,User cannot access ServiceNow,6.658803593073436,2025-10-04 06:39:31.692935064,0
INC102500,2025-06-05,1 - Critical,Closed,HR Tech,user540,cmdb_ci_server,Email down,3.661937624466869,2025-06-05 03:39:42.975448080,0
INC102501,2025-09-05,3 - Moderate,Resolved,Security,user275,cmdb_ci_server,Password reset requested,13.599471956031111,2025-09-05 13:35:58.099041712,0
INC102502,2025-08-06,2 - High,New,Security,user141,cmdb_ci_network,Password reset requested,9.911522729620138,,0
INC102503,2025-07-09,4 - Low,On Hold,IT Support,user307,cmdb_ci_app,Laptop will not boot,9.745260876751326,2025-07-09 09:44:42.939156304,0
INC102504,2025-06-12,3 - Moderate,Resolved,Security,user269,cmdb_ci_network,Laptop will not boot,11.913195217888887,2025-06-12 11:54:47.502784399,0
INC102505,2025-06-29,4 - Low,In Progress,Network,user497,cmdb_ci_db_instance,Application error 500,10.270821324834175,2025-06-29 10:16:14.956769403,0
INC102506,2025-02-03,3 - Moderate,Closed,IT Support,user052,cmdb_ci_app,Network latency issues,13.655159019690965,2025-02-03 13:39:18.572470887,0
INC102507,2025-02-10,3 - Moderate,Resolved,HR Tech,user505,cmdb_ci_network,Slow database performance,8.220651725061362,2025-02-10 08:13:14.346210220,0
INC102508,2025-03-16,2 - High,New,HR Tech,user247,cmdb_ci_app,VPN unstable,11.80134372494022,2025-03-16 11:48:04.837409784,0
INC102509,2025-10-06,3 - Moderate,Closed,Security,user036,cmdb_ci_network,Slow database performance,9.543316224064782,2025-10-06 09:32:35.938406633,0
INC102510,2025-06-25,3 - Moderate,In Progress,Security,user107,cmdb_ci_db_instance,Password reset requested,9.496638200391915,2025-06-25 09:29:47.897521410,0
INC102511,2025-05-30,3 - Moderate,On Hold,Network,user555,cmdb_ci_network,Network latency issues,2.072784006274568,2025-05-30 02:04:22.022422588,0
INC102512,2025-09-30,4 - Low,Closed,HR Tech,user141,cmdb_ci_network,Slow database performance,3.306987880343545,2025-09-30 03:18:25.156369236,0
INC102513,2025-04-18,3 - Moderate,Resolved,Security,user092,cmdb_ci_server,Application error 500,8.792873858169687,2025-04-18 08:47:34.345889410,0
INC102514,2025-05-19,4 - Low,In Progress,HR Tech,user191,cmdb_ci_server,Laptop will not boot,4.16638084986215,2025-05-19 04:09:58.971059503,0
INC102515,2025-09-28,3 - Moderate,In Progress,HR Tech,user183,cmdb_ci_db_instance,Laptop will not boot,7.046714259723941,,0
INC102516,2025-10-16,3 - Moderate,On Hold,Security,user206,cmdb_ci_db_instance,VPN unstable,4.989032825549749,2025-10-16 04:59:20.518171979,0
INC102517,2025-07-31,3 - Moderate,Resolved,HR Tech,user041,cmdb_ci_db_instance,User cannot access ServiceNow,5.137964116782486,2025-07-31 05:08:16.670820416,0
INC102518,2025-09-29,2 - High,Resolved,Security,user427,cmdb_ci_db_instance,VPN unstable,7.632600847054424,2025-09-29 07:37:57.363049395,0
INC102519,2025-03-07,3 - Moderate,Resolved,App Dev,user338,cmdb_ci_network,Email down,6.071151544982906,2025-03-07 06:04:16.145561938,0
INC102520,2025-09-05,3 - Moderate,Resolved,Security,user521,cmdb_ci_db_instance,Laptop will not boot,17.48611678145921,2025-09-05 17:29:10.020413253,0
INC102521,2025-06-05,2 - High,On Hold,HR Tech,user537,cmdb_ci_network,Slow database performance,2.2736265273585508,,0
INC102522,2025-02-16,3 - Moderate,Resolved,App Dev,user286,cmdb_ci_network,Laptop will not boot,10.81318846484778,2025-02-16 10:48:47.478473452,0
INC102523,2025-07-20,3 - Moderate,In Progress,HR Tech,user384,cmdb_ci_network,Laptop will not boot,12.242463046663268,2025-07-20 12:14:32.866967987,0
INC102524,2025-05-28,2 - High,In Progress,HR Tech,user584,cmdb_ci_network,Slow database performance,18.25004958008288,2025-05-28 18:15:00.178488298,1
INC102525,2025-05-04,4 - Low,Resolved,App Dev,user537,cmdb_ci_server,Application error 500,7.762230210592761,2025-05-04 07:45:44.028758133,0
INC102526,2025-01-01,3 - Moderate,New,Network,user256,cmdb_ci_app,Slow database performance,11.452161805076576,2025-01-01 11:27:07.782498275,0
INC102527,2025-09-04,3 - Moderate,New,App Dev,user094,cmdb_ci_network,Application error 500,17.344343153767227,,0
INC102528,2025-05-08,3 - Moderate,In Progress,HR Tech,user461,cmdb_ci_app,Email down,4.686465811946853,2025-05-08 04:41:11.276923008,0
INC102529,2025-07-10,4 - Low,In Progress,HR Tech,user031,cmdb_ci_server,Password reset requested,3.6789723531649696,2025-07-10 03:40:44.300471393,0
INC102530,2025-03-08,1 - Critical,In Progress,Network,user292,cmdb_ci_db_instance,Slow database performance,8.012220250381574,2025-03-08 08:00:43.992901373,0
INC102531,2025-01-04,3 - Moderate,In Progress,App Dev,user573,cmdb_ci_network,Password reset requested,6.29518687041669,2025-01-04 06:17:42.672733500,0
INC102532,2025-10-21,3 - Moderate,In Progress,Security,user531,cmdb_ci_db_instance,Email down,11.605803735100228,2025-10-21 11:36:20.893446360,0
INC102533,2025-05-23,4 - Low,In Progress,HR Tech,user235,cmdb_ci_app,Slow database performance,2.4036232274300438,2025-05-23 02:24:13.043618748,0
INC102534,2025-07-10,3 - Moderate,New,App Dev,user285,cmdb_ci_db_instance,Slow database performance,16.6278670232755,2025-07-10 16:37:40.321283791,0
INC102535,2025-01-21,2 - High,In Progress,IT Support,user515,cmdb_ci_app,Network latency issues,8.843569648475336,,0
INC102536,2025-08-15,3 - Moderate,Closed,HR Tech,user340,cmdb_ci_server,Password reset requested,6.159867675650851,2025-08-15 06:09:35.523632343,0
INC102537,2025-04-27,3 - Moderate,In Progress,Security,user537,cmdb_ci_server,Network latency issues,7.421067766693236,,0
INC102538,2025-05-22,1 - Critical,Resolved,HR Tech,user233,cmdb_ci_app,Email down,14.170093043831072,2025-05-22 14:10:12.334957791,1
INC102539,2025-02-08,4 - Low,New,App Dev,user325,cmdb_ci_network,Email down,10.401220362245102,2025-02-08 10:24:04.393304082,0
INC102540,2025-09-09,1 - Critical,New,Network,user055,cmdb_ci_network,Password reset requested,7.318925626729794,2025-09-09 07:19:08.132256227,0
INC102541,2025-07-26,1 - Critical,On Hold,IT Support,user440,cmdb_ci_network,Password reset requested,6.410469695329294,2025-07-26 06:24:37.690903185,0
INC102542,2025-07-29,1 - Critical,On Hold,Security,user242,cmdb_ci_db_instance,Slow database performance,6.622652997239297,2025-07-29 06:37:21.550790061,0
INC102543,2025-04-25,3 - Moderate,In Progress,HR Tech,user297,cmdb_ci_network,User cannot access ServiceNow,11.28601888224,2025-04-25 11:17:09.667976064,0
INC102544,2025-08-13,3 - Moderate,In Progress,Security,user130,cmdb_ci_app,Laptop will not boot,6.037267300052853,2025-08-13 06:02:14.162280190,0
INC102545,2025-05-14,2 - High,New,Network,user518,cmdb_ci_app,User cannot access ServiceNow,10.720181090766989,2025-05-14 10:43:12.651926761,0
INC102546,2025-09-08,4 - Low,Closed,IT Support,user228,cmdb_ci_server,Network latency issues,3.772156992797526,2025-09-08 03:46:19.765174071,0
INC102547,2025-08-07,2 - High,In Progress,Security,user187,cmdb_ci_app,Email down,4.290983231136777,2025-08-07 04:17:27.539632092,0
INC102548,2025-04-01,3 - Moderate,In Progress,App Dev,user193,cmdb_ci_network,Laptop will not boot,7.260192687474881,2025-04-01 07:15:36.693674909,0
INC102549,2025-02-15,2 - High,Closed,App Dev,user287,cmdb_ci_network,VPN unstable,6.37417276352923,,0
INC102550,2025-02-07,4 - Low,New,Security,user365,cmdb_ci_server,Network latency issues,4.490699928307441,2025-02-07 04:29:26.519741906,0
INC102551,2025-05-22,4 - Low,In Progress,IT Support,user101,cmdb_ci_network,User cannot access ServiceNow,2.98223662329585,,0
INC102552,2025-04-10,3 - Moderate,In Progress,HR Tech,user046,cmdb_ci_server,Email down,3.99738845116088,2025-04-10 03:59:50.598424179,0
INC102553,2025-07-09,1 - Critical,In Progress,App Dev,user572,cmdb_ci_server,Slow database performance,19.24143299790227,2025-07-09 19:14:29.158792448,1
INC102554,2025-02-04,3 - Moderate,New,HR Tech,user558,cmdb_ci_app,Password reset requested,4.478475933705363,2025-02-04 04:28:42.513361339,0
INC102555,2025-05-27,3 - Moderate,Closed,HR Tech,user275,cmdb_ci_app,Network latency issues,7.656211803703545,2025-05-27 07:39:22.362493332,0
INC102556,2025-01-30,3 - Moderate,Closed,Security,user257,cmdb_ci_network,Slow database performance,4.478066644904402,,0
INC102557,2025-03-25,3 - Moderate,In Progress,App Dev,user018,cmdb_ci_network,VPN unstable,5.933204054223107,2025-03-25 05:55:59.534595203,0
INC102558,2025-10-08,4 - Low,In Progress,Security,user416,cmdb_ci_db_instance,Network latency issues,13.075325016914402,2025-10-08 13:04:31.170060891,0
INC102559,2025-09-27,1 - Critical,Resolved,Network,user227,cmdb_ci_db_instance,Email down,6.269828189969985,2025-09-27 06:16:11.381483891,0
INC102560,2025-06-03,3 - Moderate,On Hold,HR Tech,user224,cmdb_ci_server,Laptop will not boot,5.749157694500263,2025-06-03 05:44:56.967700200,0
INC102561,2025-04-12,3 - Moderate,Closed,IT Support,user315,cmdb_ci_db_instance,VPN unstable,4.68326732135453,2025-04-12 04:40:59.762356876,0
INC102562,2025-08-03,3 - Moderate,On Hold,HR Tech,user065,cmdb_ci_network,Laptop will not boot,6.09247851818036,2025-08-03 06:05:32.922665449,0
INC102563,2025-05-30,2 - High,In Progress,IT Support,user173,cmdb_ci_network,Laptop will not boot,9.532442800083624,2025-05-30 09:31:56.794080301,0
INC102564,2025-03-24,2 - High,In Progress,Security,user438,cmdb_ci_db_instance,Laptop will not boot,1.5353942414807178,2025-03-24 01:32:07.419269330,0
INC102565,2025-04-20,3 - Moderate,Closed,App Dev,user079,cmdb_ci_network,User cannot access ServiceNow,2.6186128856020785,2025-04-20 02:37:07.006388167,0
INC102566,2025-10-02,4 - Low,New,HR Tech,user224,cmdb_ci_network,Email down,9.684598968274342,,0
INC102567,2025-07-20,4 - Low,Closed,Network,user280,cmdb_ci_server,Slow database performance,7.566743618760777,2025-07-20 07:34:00.277027538,0
INC102568,2025-10-11,2 - High,Resolved,HR Tech,user023,cmdb_ci_network,VPN unstable,4.870877604613517,,0
INC102569,2025-06-22,2 - High,In Progress,IT Support,user345,cmdb_ci_server,Slow database performance,10.054292082372436,2025-06-22 10:03:15.451496540,0
INC102570,2025-07-25,3 - Moderate,In Progress,IT Support,user277,cmdb_ci_network,Slow database performance,5.538351595216812,2025-07-25 05:32:18.065742780,0
INC102571,2025-03-04,3 - Moderate,In Progress,IT Support,user150,cmdb_ci_app,Slow database performance,12.948105858102414,2025-03-04 12:56:53.181089168,0
INC102572,2025-03-14,4 - Low,Resolved,App Dev,user109,cmdb_ci_network,Network latency issues,4.717955771300143,2025-03-14 04:43:04.640776680,0
INC102573,2025-09-08,3 - Moderate,Resolved,Network,user286,cmdb_ci_network,Laptop will not boot,3.699177519971101,2025-09-08 03:41:57.039071895,0
INC102574,2025-05-04,3 - Moderate,Resolved,Network,user287,cmdb_ci_server,VPN unstable,30.332156496148787,,1
INC102575,2025-05-01,3 - Moderate,In Progress,IT Support,user289,cmdb_ci_db_instance,User cannot access ServiceNow,11.31755232869662,2025-05-01 11:19:03.188383307,0
INC102576,2025-10-02,2 - High,In Progress,Network,user076,cmdb_ci_network,Email down,4.101969908019041,2025-10-02 04:06:07.091668868,0
INC102577,2025-04-30,3 - Moderate,Resolved,Network,user411,cmdb_ci_db_instance,Slow database performance,5.568570437147893,2025-04-30 05:34:06.853573732,0
INC102578,2025-06-13,3 - Moderate,Closed,Security,user250,cmdb_ci_db_instance,Slow database performance,4.735033847408694,2025-06-13 04:44:06.121850671,0
INC102579,2025-10-13,4 - Low,Closed,Network,user078,cmdb_ci_app,Network latency issues,1.8812731906008917,2025-10-13 01:52:52.583486163,0
INC102580,2025-09-22,2 - High,Resolved,IT Support,user314,cmdb_ci_network,Password reset requested,5.824217128879008,,0
INC102581,2025-06-10,3 - Moderate,New,App Dev,user576,cmdb_ci_network,User cannot access ServiceNow,8.10332821073842,2025-06-10 08:06:11.981558658,0
INC102582,2025-03-30,4 - Low,New,Security,user109,cmdb_ci_network,Laptop will not boot,16.939320716401244,2025-03-30 16:56:21.554579044,0
INC102583,2025-05-22,3 - Moderate,In Progress,Network,user328,cmdb_ci_network,Laptop will not boot,6.806477793594612,2025-05-22 06:48:23.320056940,0
INC102584,2025-07-22,4 - Low,Resolved,Security,user232,cmdb_ci_db_instance,Network latency issues,5.205390485315174,2025-07-22 05:12:19.405747134,0
INC102585,2025-08-15,3 - Moderate,On Hold,HR Tech,user477,cmdb_ci_app,Password reset requested,18.26468983746494,2025-08-15 18:15:52.883414873,0
INC102586,2025-08-10,4 - Low,Resolved,Security,user538,cmdb_ci_network,Network latency issues,15.869739879533316,2025-08-10 15:52:11.063566319,0
INC102587,2025-02-10,3 - Moderate,Closed,Security,user428,cmdb_ci_network,VPN unstable,8.06984544030899,2025-02-10 08:04:11.443585112,0
INC102588,2025-07-15,2 - High,New,Security,user555,cmdb_ci_network,User cannot access ServiceNow,7.549621228114714,2025-07-15 07:32:58.636421212,0
INC102589,2025-03-09,4 - Low,Closed,Network,user049,cmdb_ci_db_instance,Laptop will not boot,9.459627884398136,2025-03-09 09:27:34.660383833,0
INC102590,2025-09-21,4 - Low,In Progress,Security,user180,cmdb_ci_app,Laptop will not boot,4.672954396931504,2025-09-21 04:40:22.635828953,0
INC102591,2025-01-02,3 - Moderate,New,App Dev,user327,cmdb_ci_db_instance,Application error 500,7.339546043515782,2025-01-02 07:20:22.365756656,0
INC102592,2025-05-05,3 - Moderate,Closed,Network,user113,cmdb_ci_app,Slow database performance,4.537331033738286,2025-05-05 04:32:14.391721457,0
INC102593,2025-04-20,4 - Low,Closed,IT Support,user250,cmdb_ci_db_instance,VPN unstable,16.2007152813985,2025-04-20 16:12:02.575013034,0
INC102594,2025-03-27,2 - High,Resolved,HR Tech,user530,cmdb_ci_network,Email down,3.843755382181856,2025-03-27 03:50:37.519375854,0
INC102595,2025-04-30,3 - Moderate,Closed,IT Support,user123,cmdb_ci_server,Laptop will not boot,8.496994684686353,2025-04-30 08:29:49.180864870,0
INC102596,2025-05-07,1 - Critical,Closed,Network,user182,cmdb_ci_server,Laptop will not boot,8.774421483397532,2025-05-07 08:46:27.917340231,0
INC102597,2025-09-12,2 - High,Resolved,IT Support,user497,cmdb_ci_app,VPN unstable,17.043033628087024,2025-09-12 17:02:34.921061113,1
INC102598,2025-07-02,3 - Moderate,Resolved,HR Tech,user596,cmdb_ci_app,Slow database performance,5.157914375763682,2025-07-02 05:09:28.491752749,0
INC102599,2025-01-16,4 - Low,In Progress,Security,user136,cmdb_ci_db_instance,Network latency issues,4.394637320582841,2025-01-16 04:23:40.694354098,0
INC102600,2025-03-03,3 - Moderate,In Progress,IT Support,user521,cmdb_ci_app,Email down,10.919333813361424,2025-03-03 10:55:09.601728101,0
INC102601,2025-06-07,4 - Low,Resolved,Network,user590,cmdb_ci_app,Laptop will not boot,10.007275327634783,2025-06-07 10:00:26.191179485,0
INC102602,2025-09-25,1 - Critical,Resolved,App Dev,user430,cmdb_ci_app,Password reset requested,22.975350361986013,,1
INC102603,2025-02-04,3 - Moderate,In Progress,HR Tech,user545,cmdb_ci_db_instance,Slow database performance,8.16888850887378,2025-02-04 08:10:07.998631945,0
INC102604,2025-09-24,2 - High,In Progress,IT Support,user314,cmdb_ci_db_instance,User cannot access ServiceNow,15.995536773109396,2025-09-24 15:59:43.932383193,1
INC102605,2025-03-05,1 - Critical,Closed,App Dev,user079,cmdb_ci_server,Password reset requested,14.899957596971182,2025-03-05 14:53:59.847349096,1
